instrument_id,display_symbol,yfinance_symbol,instrument_name,asset_class,security_type,exchange_mic,quote_currency,issuer_country_code,official_sector_name,risk_cluster_id,classification_source,classification_as_of_date,active_from,active_to,is_active,config_version,record_hash
NVDA_US,NVDA,NVDA,NVIDIA Corporation,EQUITY,COMMON_STOCK,XNAS,USD,US,Information Technology,SYSTEMIC_CORE_TECHNOLOGY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,c564933c2cf2bdedea3de81ae0503ff8ef24f919e4b8001f0e47b983536ddde5
AAPL_US,AAPL,AAPL,Apple Inc.,EQUITY,COMMON_STOCK,XNAS,USD,US,Information Technology,SYSTEMIC_CORE_TECHNOLOGY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,9d9caf6ca76b7fba7d5ba79e14f3a1fa235a354cf72fcd86d867b01059c1834f
GOOGL_US,GOOGL,GOOGL,Alphabet Inc. Class A,EQUITY,COMMON_STOCK,XNAS,USD,US,Communication Services,SYSTEMIC_CORE_TECHNOLOGY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,a0ba0a953ae755ce74b08edb81fd493004303e84c55ff0583098e265312cacfe
MSFT_US,MSFT,MSFT,Microsoft Corporation,EQUITY,COMMON_STOCK,XNAS,USD,US,Information Technology,SYSTEMIC_CORE_TECHNOLOGY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,ae34f330c3085d2bafd0f5c86f7d0e0a1de9b4c900dfeaeb0a77e73748762ffb
TSM_US,TSM,TSM,Taiwan Semiconductor Manufacturing Company Limited ADR,EQUITY,ADR,XNYS,USD,TW,Information Technology,SEMICONDUCTOR_INFRASTRUCTURE,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,68bd03c2ef02b395c4463921d7d6d65409d3e3f84a7e85e4ead9a2e673fd6b71
AVGO_US,AVGO,AVGO,Broadcom Inc.,EQUITY,COMMON_STOCK,XNAS,USD,US,Information Technology,SEMICONDUCTOR_INFRASTRUCTURE,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,54ff3f791202727da14a9917ff81d77dd498494e8a9f35db601776d6ebfa0082
AMZN_US,AMZN,AMZN,"Amazon.com, Inc.",EQUITY,COMMON_STOCK,XNAS,USD,US,Consumer Discretionary,CONSUMER_AND_LOGISTICS,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,9af547026e4a3848b3fba730cf9874571932cbef3330fefae81f148f2ff87741
WMT_US,WMT,WMT,Walmart Inc.,EQUITY,COMMON_STOCK,XNAS,USD,US,Consumer Staples,CONSUMER_AND_LOGISTICS,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,6509d9372f5141fa51defde4141f5379e299fd77046763229b8dba0091aa849d
LLY_US,LLY,LLY,Eli Lilly and Company,EQUITY,COMMON_STOCK,XNYS,USD,US,Health Care,HEALTHCARE_AND_POLICY_SENSITIVITY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,835b184c1c2f8c6bf5b170ebec388a7e798eed00d5c9f6b740cbed6be9c24d8a
UNH_US,UNH,UNH,UnitedHealth Group Incorporated,EQUITY,COMMON_STOCK,XNYS,USD,US,Health Care,HEALTHCARE_AND_POLICY_SENSITIVITY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,65935f0d0deb4b2b33eeb989eae659e17a5b8fa79e2f5edc106a8517a54e71a7
JPM_US,JPM,JPM,JPMorgan Chase & Co.,EQUITY,COMMON_STOCK,XNYS,USD,US,Financials,FINANCIAL_FOUNDATIONS,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,8b0201b6831172ecfccfb21eee65b23a0c3559d4d700be7e6f3687eb5a789f3b
BRK_B_US,BRK.B,BRK-B,Berkshire Hathaway Inc. Class B,EQUITY,COMMON_STOCK,XNYS,USD,US,Financials,FINANCIAL_FOUNDATIONS,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,90b58eeccd46a340dbdb0a40e9b7a7f9fae25e1133513a766e263d172c3a9fc4
XOM_US,XOM,XOM,Exxon Mobil Corporation,EQUITY,COMMON_STOCK,XNYS,USD,US,Energy,MACRO_AND_GEOPOLITICAL_SENSITIVITY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,d9ccc6e2ebdcb8cabc4ed968c76cf2f09b2d7cc23056aaf943187b88615b8fdc
TSLA_US,TSLA,TSLA,"Tesla, Inc.",EQUITY,COMMON_STOCK,XNAS,USD,US,Consumer Discretionary,MACRO_AND_GEOPOLITICAL_SENSITIVITY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,5de68134fe4acc493bca7a1ad935af8363c3bd0f9f39dfff48a1e464dda99593
LMT_US,LMT,LMT,Lockheed Martin Corporation,EQUITY,COMMON_STOCK,XNYS,USD,US,Industrials,MACRO_AND_GEOPOLITICAL_SENSITIVITY,REVIEWED_COMPANY_FILINGS_AND_PROVIDER_PROFILE,2026-08-25,2016-01-01,,true,1.0.0,f1b67e20ad3f8ab2f852e9d7b15e235582437e300cda457f53c625c8d05a50ea
